station_id,fuel_code,price_eur,date
2091,95,1.653,2026-04-08
2091,dizel,1.894,2026-04-08
2091,100,1.905,2026-04-08
2091,KOEL,1.555,2026-04-08
2092,95,1.653,2026-04-08
2092,dizel,1.894,2026-04-08
2092,100,1.905,2026-04-08
2092,dizel-premium,2.369,2026-04-08
2092,avtoplin-lpg,1.049,2026-04-08
2092,KOEL,1.555,2026-04-08
2093,95,1.653,2026-04-08
2093,dizel,1.894,2026-04-08
2093,KOEL,1.555,2026-04-08
2094,95,1.653,2026-04-08
2094,dizel,1.894,2026-04-08
2094,100,1.905,2026-04-08
2094,avtoplin-lpg,1.049,2026-04-08
2094,KOEL,1.555,2026-04-08
2098,95,1.653,2026-04-08
2098,dizel,1.894,2026-04-08
2098,100,1.905,2026-04-08
2098,dizel-premium,2.369,2026-04-08
2098,avtoplin-lpg,1.049,2026-04-08
2098,KOEL,1.555,2026-04-08
2099,95,1.653,2026-04-08
2099,dizel,1.894,2026-04-08
2099,100,1.905,2026-04-08
2099,KOEL,1.555,2026-04-08
2102,95,1.653,2026-04-08
2102,dizel,1.894,2026-04-08
2102,KOEL,1.555,2026-04-08
2103,95,1.653,2026-04-08
2103,dizel,1.894,2026-04-08
2103,KOEL,1.555,2026-04-08
2104,95,1.653,2026-04-08
2104,dizel,1.894,2026-04-08
2104,100,1.905,2026-04-08
2104,KOEL,1.555,2026-04-08
2105,95,1.653,2026-04-08
2105,dizel,1.894,2026-04-08
2105,KOEL,1.555,2026-04-08
2106,95,1.653,2026-04-08
2106,dizel,1.894,2026-04-08
2106,KOEL,1.555,2026-04-08
2107,95,1.653,2026-04-08
2107,dizel,1.894,2026-04-08
2107,KOEL,1.555,2026-04-08
2108,95,1.653,2026-04-08
2108,dizel,1.894,2026-04-08
2108,100,1.905,2026-04-08
2108,KOEL,1.555,2026-04-08
2109,95,1.653,2026-04-08
2109,dizel,1.894,2026-04-08
2109,KOEL,1.555,2026-04-08
2110,95,1.653,2026-04-08
2110,dizel,1.894,2026-04-08
2110,100,1.905,2026-04-08
2110,dizel-premium,2.369,2026-04-08
2110,avtoplin-lpg,1.049,2026-04-08
2111,95,1.653,2026-04-08
2111,dizel,1.894,2026-04-08
2111,100,1.905,2026-04-08
2111,KOEL,1.555,2026-04-08
2112,95,1.653,2026-04-08
2112,dizel,1.894,2026-04-08
2113,95,1.653,2026-04-08
2113,dizel,1.894,2026-04-08
2114,95,1.653,2026-04-08
2114,dizel,1.894,2026-04-08
2114,KOEL,1.555,2026-04-08
2115,95,1.653,2026-04-08
2115,dizel,1.894,2026-04-08
2115,100,1.905,2026-04-08
2115,dizel-premium,2.369,2026-04-08
2115,avtoplin-lpg,1.049,2026-04-08
2116,95,1.653,2026-04-08
2116,dizel,1.894,2026-04-08
2116,KOEL,1.555,2026-04-08
2117,95,1.653,2026-04-08
2117,dizel,1.894,2026-04-08
2117,100,1.905,2026-04-08
2118,95,1.653,2026-04-08
2118,dizel,1.894,2026-04-08
2119,95,1.653,2026-04-08
2119,dizel,1.894,2026-04-08
2119,100,1.905,2026-04-08
2119,avtoplin-lpg,1.049,2026-04-08
2119,KOEL,1.555,2026-04-08
2121,95,1.653,2026-04-08
2121,dizel,1.894,2026-04-08
2121,100,1.905,2026-04-08
2121,dizel-premium,2.369,2026-04-08
2121,KOEL,1.555,2026-04-08
2122,95,1.653,2026-04-08
2122,dizel,1.894,2026-04-08
2122,100,1.905,2026-04-08
2122,KOEL,1.555,2026-04-08
2124,95,1.653,2026-04-08
2124,dizel,1.894,2026-04-08
2124,KOEL,1.555,2026-04-08
2125,95,1.653,2026-04-08
2125,dizel,1.894,2026-04-08
2125,100,1.905,2026-04-08
2125,KOEL,1.555,2026-04-08
2126,95,1.653,2026-04-08
2126,dizel,1.894,2026-04-08
2126,100,1.905,2026-04-08
2126,avtoplin-lpg,1.049,2026-04-08
2127,95,1.653,2026-04-08
2127,dizel,1.894,2026-04-08
2127,KOEL,1.555,2026-04-08
2128,95,1.653,2026-04-08
2128,dizel,1.894,2026-04-08
2128,100,1.905,2026-04-08
2129,95,1.653,2026-04-08
2129,dizel,1.894,2026-04-08
2130,95,1.653,2026-04-08
2130,dizel,1.894,2026-04-08
2130,100,1.905,2026-04-08
2131,95,1.653,2026-04-08
2131,dizel,1.894,2026-04-08
2131,100,1.905,2026-04-08
2131,avtoplin-lpg,1.049,2026-04-08
2131,KOEL,1.555,2026-04-08
2132,95,1.653,2026-04-08
2132,dizel,1.894,2026-04-08
2132,100,1.905,2026-04-08
2132,avtoplin-lpg,1.049,2026-04-08
2132,KOEL,1.555,2026-04-08
2133,95,1.653,2026-04-08
2133,dizel,1.894,2026-04-08
2133,100,1.905,2026-04-08
2133,dizel-premium,2.369,2026-04-08
2133,avtoplin-lpg,1.049,2026-04-08
2134,95,1.653,2026-04-08
2134,dizel,1.894,2026-04-08
2134,100,1.905,2026-04-08
2134,avtoplin-lpg,1.049,2026-04-08
2135,95,1.653,2026-04-08
2135,dizel,1.894,2026-04-08
2135,100,1.905,2026-04-08
2135,avtoplin-lpg,1.049,2026-04-08
2136,95,1.653,2026-04-08
2136,dizel,1.894,2026-04-08
2136,100,1.905,2026-04-08
2136,avtoplin-lpg,1.049,2026-04-08
2137,95,1.653,2026-04-08
2137,dizel,1.894,2026-04-08
2137,100,1.905,2026-04-08
2137,KOEL,1.555,2026-04-08
2138,95,1.653,2026-04-08
2138,dizel,1.894,2026-04-08
2138,100,1.905,2026-04-08
2138,avtoplin-lpg,1.049,2026-04-08
2139,95,1.653,2026-04-08
2139,dizel,1.894,2026-04-08
2139,100,1.905,2026-04-08
2139,avtoplin-lpg,1.049,2026-04-08
2139,KOEL,1.555,2026-04-08
2140,95,1.653,2026-04-08
2140,dizel,1.894,2026-04-08
2140,KOEL,1.555,2026-04-08
2142,95,1.653,2026-04-08
2142,dizel,1.894,2026-04-08
2142,KOEL,1.555,2026-04-08
2143,95,1.653,2026-04-08
2143,dizel,1.894,2026-04-08
2143,KOEL,1.555,2026-04-08
2144,95,1.653,2026-04-08
2144,dizel,1.894,2026-04-08
2144,100,1.905,2026-04-08
2144,avtoplin-lpg,1.049,2026-04-08
2144,KOEL,1.555,2026-04-08
2145,95,1.653,2026-04-08
2145,dizel,1.894,2026-04-08
2145,100,1.905,2026-04-08
2145,KOEL,1.555,2026-04-08
2146,95,1.653,2026-04-08
2146,dizel,1.894,2026-04-08
2146,100,1.905,2026-04-08
2146,KOEL,1.555,2026-04-08
2147,95,1.653,2026-04-08
2147,dizel,1.894,2026-04-08
2147,100,1.905,2026-04-08
2147,dizel-premium,2.369,2026-04-08
2147,avtoplin-lpg,1.049,2026-04-08
2147,KOEL,1.555,2026-04-08
2148,95,1.653,2026-04-08
2148,dizel,1.894,2026-04-08
2148,100,1.905,2026-04-08
2148,KOEL,1.555,2026-04-08
2149,95,1.653,2026-04-08
2149,dizel,1.894,2026-04-08
2149,100,1.905,2026-04-08
2149,KOEL,1.555,2026-04-08
2150,95,1.653,2026-04-08
2150,dizel,1.894,2026-04-08
2150,100,1.905,2026-04-08
2150,KOEL,1.555,2026-04-08
2151,95,1.653,2026-04-08
2151,dizel,1.894,2026-04-08
2151,KOEL,1.555,2026-04-08
2152,95,1.653,2026-04-08
2152,dizel,1.894,2026-04-08
2152,KOEL,1.555,2026-04-08
2153,95,1.653,2026-04-08
2153,dizel,1.894,2026-04-08
